Chapter Number,Chapter,Section Number,Section Title,Section Content
1,Introduction,,,
1,Introduction,1,Title and extent of operation of the Code,"This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
1,Introduction,2,Punishment of offences committed within India,"Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
1,Introduction,3,"Punishment of offences committed beyond, but which by law may be tried within, India","Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India."
1,Introduction,4,Extension of Code to extra-territorial offences,"The provisions of this Code apply also to any offence committed by:any citizen of India in any place without and beyond India;any person on any ship or aircraft registered in India wherever it may be.ExplanationsIn this section the word offenceù includes every act committed outside India which, if committed in India would be punishable under this CodeIllustrationsA, who is a citizen of India, commits a murder in Uganda. He can be tried and convicted of murder in any place in India in which he may be found"
1,Introduction,5,Certain laws not to be affected by this Act,"Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law."
2,General Explanations,,,
2,General Explanations,6,Definitions in the Code to be understood subject to exceptions,"Throughout this Code every definition of an offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled General Exceptionsù, though those exceptions are not repeated in such definition, penal provision, or illustration.IllustrationsThe sections, in this Code, which contain definitions of offences, do not express that a child under seven years of age cannot commit such offences; but the definitions are to be understood subject to the general exception which provides that nothing shall be an offence which done by child under seven years of age.A, a police-officer, without warrant, apprehends Z who has committed murder. Here A is not guilty of the offence of wrongful confinement; for he was bound by law to apprehend Z, and therefore the case falls within the general exception which provides that nothing is an offence which is done by a person who is bound by law to do itù."
2,General Explanations,7,Sense of expression once explained,"Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the explanation."
2,General Explanations,8,Gender,"The pronoun heù and its derivatives are used of any person, whether male or female."
2,General Explanations,9,Number,"Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number."
2,General Explanations,10,Manù Womanù,The word manù denotes a male human being of any age; the word womanù denotes a female human being of any age.
2,General Explanations,11,Personù,"The word personù includes any Company or Association or body of persons, whether incorporated or not."
2,General Explanations,12,Publicù,The word publicù includes any class of the public or any community.
2,General Explanations,13,Definition of Queenù,Rep. by the A. O. 1950.
2,General Explanations,14,Servant of Governmentù,"The words Servant of Governmentù denote any officer or servant continued, appointed or employed in India by or under the authority of Government."
2,General Explanations,15,Definition of British Indiaù,Rep. by the A. O. 1937.
2,General Explanations,16,Definition of Government of Indiaù,Rep. by the A.O. 1937.
2,General Explanations,17,Governmentù,The word Governmentù denotes the Central Government or the Government of a State.
2,General Explanations,18,Indiaù,Indiaù means the territory of India excluding the State of Jammu and Kashmir.
2,General Explanations,19,Judgeù,"The word Judgeù denotes not only every person who is officially designated as a Judge, but also every person -who is empowered by law to give, in any legal proceeding, civil or criminal, a definitive judgment, or a judgment which, if not appealed against, would be definitive, or a judgment which, if confirmed by some other authority, would be definitive, or who is one of a body of persons, which body of persons is empowered by law to give such a judgment.IllustrationsA collector exercising jurisdiction in a suit under Act 10 of 1859, is a Judge.A Magistrate exercising jurisdiction in respect of a charge on which he has power to sentence to fine or imprisonment with or without appeal, is a Judge.A member of a panchayat which has power, under Regulation VII, 1816, of the Madras Code, to try and determine suit, is a Judge.A Magistrate exercising jurisdiction in respect of a charge on which he has power only to commit for trial to another Court, is not a Judge."
2,General Explanations,20,Court of Justiceù,"The words Court of Justiceù denote a Judge who is empowered by law to act judicially alone, or a body of Judges which is empowered by law to act judicially as a body, when such Judge or body of Judges is acting judicially.IllustrationsA Panchayat acting under Regulation VII, 1816, of the Madras Code, having power to try and determine suits, is a Court of Justice."
2,General Explanations,21,Public servantù,"The words public servantù denote a person falling under any of the descriptions hereinafter following, namely -* * * * *;Every Commissioned Officer in the Military, Naval or Air Forces of India;Every Judge including any person empowered by law to discharge, whether by himself or as a member of any body of persons. any adjudicatory functions;Every officer of a Court of Justice (including a liquidator, receiver or commissioner) whose duty it is, as such officer, to investigate or report on any matter of law or fact, or to make, authenticate, or keep any document, or to take charge or dispose of any property, or to execute any judicial process, or to administer any oath, or to interpret, or to preserve order in the Court, and every person specially authorized by a Court of Justice to perform any of such duties;Every juryman, assessor, or member of a panchayat assisting a Court of Justice or public servant;Every arbitrator or other person to whom any cause or matter has been referred for decision or report by any Court of Justice, or by any other competent public authority;Every person who holds any office by virtue of which he is empowered to place or keep any person in confinement;Every officer of the Government whose duty it is, as such officer, to prevent offences, to give information of offences, to bring offenders to justice, or to protect the public health, safety or convenience;Every officer whose duty it is as such officer, to take, receive, keep or expend any property on behalf of the Government, or to make any survey, assessment or contract on behalf of the Government, or to execute any revenue process, or to investigate, or to report, on any matter affecting the pecuniary interests of the Government, or to make authenticate or keep any document relating to the pecuniary interests of the Government, or to prevent the infraction of any law for the protection of the pecuniary interests of the Government;Every officer whose duty it is, as such officer, to take, receive, keep or expend any property, to make any survey or assessment or to levy any rate or tax for any secular common purpose of any village, town or district, or to make, authenticate or keep any document for the ascertaining of the rights of the people of any village, town or district;Every person who holds any office in virtue of which he is empowered to prepare, publish, maintain or revise an electoral roll or to conduct an election or part of an election;Every person:in the service or pay of the Government or remunerated by fees or commission for the performance of any public duty by the Government;in the service or pay of a local authority, a corporation established by or under a Central, Provincial or State Act or a Government company as defined in section 617 of the Companies Act, 1956 (1 of 1956).IllustrationsA Municipal Commissioner is a public servant.ExplanationsPersons falling under any of the above descriptions are public servants, whether appointed by the Government or not.Wherever the words public servantù occur, they shall be understood of every person who is in actual possession of the situation of a public servant, whatever legal defect there may be in his right to hold that situation.The word electionù denotes an election for the purpose of selecting members of any legislative, municipal or other public authority, of whatever character, the method of selection to which is by, or under, any law prescribed as by election."
2,General Explanations,22,Movable propertyù,"The words movable propertyù are intended to include corporeal property of every description, except land and things attached to the earth or permanently fastened to anything which is attached to the earth."
2,General Explanations,23,Wrongful gainù,"Wrongful Gain ì is gain by unlawful means of property to which the person gaining is not legally entitled.Wrongful loss ì is the loss by unlawful means of property to which the person losing it is legally entitled.Gaining wrongfully. Losing wrongfully ì A person is said to gain wrongfully when such person retains wrongfully, as well as when such person acquires wrongfully. A person is said to lose wrongfully when such person is wrongfully kept out of any property, as well as when such person is wrongfully deprived of property."
2,General Explanations,24,Dishonestlyù,"Whoever does anything with the intention of causing wrongful gain to one person or wrongful loss to another person, is said to do that thing dishonestlyù."
2,General Explanations,25,Fraudulentlyù,A person is said to do a thing fraudulently if he does that thing with intent to defraud but not otherwise.
2,General Explanations,26,Reason to believeù,"A person is said to have reason to believeù a thing, if he has sufficient cause to believe that thing but not otherwise."
2,General Explanations,27,"Property in possession of wife, clerk or servant","When property is in the possession of a person&òs wife, clerk or servant, on account of that person, it is in that person&òs possession within the meaning of this Code.ExplanationsA person employed temporarily or on a particular occasion in the capacity of a clerk, or servant, is a clerk or servant within the meaning of this section."
2,General Explanations,28,Counterfeitù,"A person is said to counterfeitù who causes one thing to resemble another thing, intending by means of that resemblance to practice deception, or knowing it to be likely that deception will thereby be practiced.ExplanationsIt is not essential to counterfeiting that the imitation should be exact.When a person causes one thing to resemble another thing, and the resemblance is such that a person might be deceived thereby, it shall be presumed, until the contrary is proved, that the person so causing the one thing to resemble the other thing intended by means of that resemblance to practice deception or knew it to be likely that deception would thereby be practiced."
2,General Explanations,29,Documentù,"The word documentù denotes any matter expressed or described upon any substance by means of letters, figures or marks, or by more than one of those means, intended to be used, or which may be used, as evidence of that matter.ExplanationsIt is immaterial by what means or upon what substance the letters, figures or marks are formed, or whether the evidence is intended for, or may be used in, a Court of Justice, or not.IllustrationsA writing expressing the terms of a contract, which may be used as evidence of the contract, is a document.A cheque upon a banker is a document.A power-of-attorney is a document.A map or plan which is intended to be used or which may be used as evidence, is a document.A writing containing directions or instructions is a document.ExplanationsWhatever is expressed by means of letters, figures or marks as explained by mercantile or other usage, shall be deemed to be expressed by such letters, figures or marks within the meaning of this section, although the same may not be actually expressed.IllustrationsA writes his name on the back of a bill of exchange payable to his order. The meaning of the endorsement as explained by mercantile usage, is that the bill is to be paid to the holder. The endorsement is a document, and must be construed in the same manner as if the words pay to the holderù or words to that effect had been written over the signature."
